Journal;APA full;APA partly;ASA;ASA partly;Chicago full;Chicago partly;Harvard full;Harvard partly;Oxford; Style Manual for Authors, Editors and Printers;Other;Own;Multiple required;Multiple required (including full APA manual);Multiple options (one must be chosen);Multiple allowed;Unknown;Use external guidelines ;Link;Other information;
Acta Sociologica;;;;;;;;1;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal/acta-sociologica#submission-guidelines;Acta Sociologica adheres to the SAGE Harvard reference style.;
Agriculture and Human Values;;;;;;;;;;;1;;;;;;;0;https://www.springer.com/journal/10460/submission-guidelines ;;
American Journal of Economics and Sociology;;;;;;;;;;;1;;;;;;;0;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150/homepage/ForAuthors.html;;
American Journal of Sociology;;;;;;;;;;;;1;;;;;;0;http://www.journals.uchicago.edu/journals/ajs/instruct;These general guidelines for the preparation of text should be used whether you plan to submit an electronic file via the Web portal or to send paper or electronic copies to the editorial office (see below). | AJS format requirements;
American Sociological Review;;;1;;;;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/american-sociological-review/journal201969#submission-guidelines;Additional details on preparing manuscripts for ASR are published in the ASA Style Guide (4th ed., 2010) available from the American Sociological Association;
Annals of Tourism Research;;1;;;;;;;;;;;;;;;;1;https://www.elsevier.com/journals/annals-of-tourism-research/0160-7383/guide-for-authors;Annals follows the referencing style of the American Psychological Association (APA). For full guidelines please consult the Publication Manual of the American Psychological Association (Fifth Edition), ISBN 1-55798-790-4.;
Annual Review of Law and Social Science;;;;;;;;;;;;;1;;;;;1;http://www.annualreviews.org/page/authors/general-information#lawsocsci;"The following Annual Reviews use the unnumbered, name and year (Harvard) bibliographic style: Anthropology; Astronomy and Astrophysics; Cancer Biology; Cell and Developmental Biology; Clinical Psychology; Criminology; Earth and Planetary Sciences; Ecology, Evolution, and Systematics; Economics; Financial Economics; Fluid Mechanics; Food Science and Technology; Law and Social Science; Linguistics; Marine Science; Neuroscience; Organizational Psychology and Organizational Behavior; Political Science; Psychology; Resource Economics; Sociology; Statistics and Its Application; and Vision Science. |  The style manuals to which we refer at Annual Reviews include Webster’s Dictionary, The Chicago Manual of Style (University of Chicago Press), and Council of Science Editors’ Scientific Style and Format. | www.annualreviews.org/pb-assets/Authors%20Assets/AuthorHandbook-Harvard.pdf";
Annual Review of Sociology;;;;;;;;;;;;;1;;;;;1;http://www.annualreviews.org/page/authors/general-information#soc;"The following Annual Reviews use the unnumbered, name and year (Harvard) bibliographic style: Anthropology; Astronomy and Astrophysics; Cancer Biology; Cell and Developmental Biology; Clinical Psychology; Criminology; Earth and Planetary Sciences; Ecology, Evolution, and Systematics; Economics; Financial Economics; Fluid Mechanics; Food Science and Technology; Law and Social Science; Linguistics; Marine Science; Neuroscience; Organizational Psychology and Organizational Behavior; Political Science; Psychology; Resource Economics; Sociology; Statistics and Its Application; and Vision Science. |  The style manuals to which we refer at Annual Reviews include Webster’s Dictionary, The Chicago Manual of Style (University of Chicago Press), and Council of Science Editors’ Scientific Style and Format. | www.annualreviews.org/pb-assets/Authors%20Assets/AuthorHandbook-Harvard.pdf";
Anthrozoös;;1;;;;;;;;;;;;;;;;1;www.tandfonline.com/action/authorSubmission?journalCode=rfan20&page=instructions;Please see the journal reference guide: http://www.tandf.co.uk/journals/authors/style/reference/tf_APA.pdf.;
Archives Européennes de Sociologie;;;;;;1;;;;;;;;;;;;1;https://www.cambridge.org/core/journals/european-journal-of-sociology-archives-europeennes-de-sociologie/information/instructions-contributors;Referencing should be in accordance with the Chicago Manual of Style.| assets.cambridge.org/EUR/EUR_ifc.pdf;
Armed Forces and Society;1;;;;;;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/armed-forces-society/journal201730#submission-guidelines;Manuscripts submitted to Armed Forces & Society (AF&S) should strictly follow the APA manual (6th edition);
Berliner Journal für Soziologie;;;;;;;;;;;1;;;;;;;0;www.springer.com/journal/11609/submission-guidelines ;;
Biodemography and Social Biology;;;;;1;;;;;;;;;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hsbi20;References, citations, and general style of manuscripts should be prepared in accordance with the Chicago Manual of Style, 16th ed.;
