"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"1","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","t",NA,86,"=",1.217,">",0.1,0.226933403708743,"t(86) = 1.217, P > .10",FALSE,FALSE,FALSE,FALSE,0.17
"2","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","t",NA,86,"=",0.446,">",0.1,0.656718121049761,"t(86) = 0.446, P > .10",FALSE,FALSE,FALSE,FALSE,0.17
"3","A Social Network Comparison of Low-Income Black and White Newlywed Couples - Jackson - 2014","t",NA,53,"=",5.7,"<",0.001,0.000000541153370756667,"t(53) = 5.7, p < .001",FALSE,FALSE,FALSE,FALSE,0.06
"4","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","Chi2",54,NA,"=",148.47,"<",0.001,0.0000000000939835928674506,";2(54) = 148.47, p < .001",FALSE,FALSE,FALSE,FALSE,0.09
"5","Adolescents' Perceptions of Family Belonging in Stepfamilies - King - 2015","Chi2",180,NA,"=",579.08,"<",0.001,0.000000000000000000000000000000000000000000193778745635096,";2(180) = 579.08, p < .001",FALSE,FALSE,FALSE,FALSE,0.09
"6","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","Chi2",1,NA,"=",5.6,"=",0.02,0.0179604775260788,"‡2(1) = 5.60, p = .02",FALSE,FALSE,FALSE,TRUE,0.58
"7","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",12,1590,"=",3.57,"<",0.001,0.0000284566252616099,"F(12, 1590) = 3.57, p < .001",FALSE,FALSE,FALSE,TRUE,0.58
"8","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",3,531,"=",3.82,"=",0.01,0.00998213606562938,"F(3, 531) = 3.82, p = .01",FALSE,FALSE,FALSE,TRUE,0.58
"9","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",3,531,"=",3.72,"=",0.01,0.0114336523260303,"F(3, 531) = 3.72, p = .01",FALSE,FALSE,FALSE,TRUE,0.58
"10","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",3,531,"=",3.1,"=",0.03,0.0264062620736015,"F(3, 531) = 3.10, p = .03",FALSE,FALSE,FALSE,TRUE,0.58
"11","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",3,531,"=",4.09,"=",0.002,0.00691294864599819,"F(3, 531) = 4.09, p = .002",TRUE,FALSE,TRUE,TRUE,0.58
"12","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",3,531,"=",5.8,"=",0.001,0.000662319410640199,"F(3, 531) = 5.80, p = .001",FALSE,FALSE,FALSE,TRUE,0.58
"13","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",1,531,"=",0.04,"=",0.84,0.841557150925096,"F(1, 531) = .04, p = .84",FALSE,FALSE,FALSE,TRUE,0.58
"14","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",1,537,"=",10.49,"=",0.001,0.00127442632945022,"F(1, 537) = 10.49, p = .001",FALSE,FALSE,FALSE,TRUE,0.58
"15","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","F",1,537,"=",7.21,"=",0.007,0.00747399349504007,"F(1, 537) = 7.21, p = .007",FALSE,FALSE,FALSE,TRUE,0.58
