"Source","Statistic","Reported.Comparison","Reported.P.Value","Raw"
"1","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"2","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"3","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.01,"p < .01"
"4","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"5","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"6","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"7","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.01,"p < .01"
"8","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"9","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"10","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.05,"p < .05"
"11","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"12","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"13","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"14","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"15","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"16","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"17","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"18","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"19","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.05,"p < .05"
"20","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.01,"p < .01"
"21","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"22","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.05,"p < .05"
"23","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.01,"p < .01"
"24","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"25","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.05,"p < .05"
"26","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.01,"p < .01"
"27","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"28","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.05,"p < .05"
"29","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.01,"p < .01"
"30","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","<",0.001,"p < .001"
"31","“I'll Give You the World”  Socioeconomic Differences in Parental Support of Adult Children - Fingerman - 2015","p","ns",NA," NS"
"32","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.1,"P > .10"
"33","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.1,"P > .10"
"34","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.7,"P > .70"
"35","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.7,"P > .70"
"36","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.6,"P > .60"
"37","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.94,"P > .94"
"38","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.5,"P > .50"
"39","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.02,"P < .02"
"40","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.49,"P > .49"
"41","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.002,"P < .002"
"42","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.05,"P < .05"
"43","“Relational by Nature”  Men and Women Do Not Differ in Physiological Response to Social Stressors Faced by Token Women","p","",0.05,"P < .05"
"44","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.05,"p < .05"
"45","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.01,"p < .01"
"46","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.001,"p < .001"
"47","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.05,"p < .05"
"48","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.01,"p < .01"
"49","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.001,"p < .001"
"50","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.05,"p < .05"
"51","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.01,"p < .01"
"52","“Where Have All the Good Men Gone ” Gendered Interactions in Online Dating - Kreager - 2014","p","<",0.001,"p < .001"
"53","A Comparison of the Performance... - Carvell, Canina, Sturman, 2016","p","<",0.001,"p < .001"
"54","A Comparison of the Performance... - Carvell, Canina, Sturman, 2016","p","<",0.001,"p < .001"
"55","A Dynamic Model of Cultural Reproduction","p","",0.05,"P < .05"
"56","A Dynamic Model of Cultural Reproduction","p","",0.01,"P < .01"
"57","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"58","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"59","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"60","A Dynamic Model of Cultural Reproduction","p","",0.01,"P < .01"
"61","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"62","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"63","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"64","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"65","A Dynamic Model of Cultural Reproduction","p","",0.05,"P < .05"
"66","A Dynamic Model of Cultural Reproduction","p","",0.01,"P < .01"
"67","A Dynamic Model of Cultural Reproduction","p","",0.001,"P < .001"
"68","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.05,"P < .05"
"69","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.01,"P < .01"
"70","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.001,"P < .001"
"71","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.05,"P < .05"
"72","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.01,"P < .01"
"73","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.001,"P < .001"
"74","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.1,"P < .1"
"75","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.05,"P < .05"
"76","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.01,"P < .01"
"77","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.001,"P < .001"
"78","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.1,"P < .1"
"79","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.05,"P < .05"
"80","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.01,"P < .01"
"81","A Life Course Trajectory Framework for Understanding the Intracohort Pattern of Wage Inequality","p","",0.001,"P < .001"
"82","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.01,"p < 0.01"
"83","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.05,"p < 0.05"
"84","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.01,"p < 0.01"
"85","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.05,"p < 0.05"
"86","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.01,"p < 0.01"
"87","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.05,"p < 0.05"
"88","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.01,"p < 0.01"
"89","A New Kuznetsian Dynamic  The Knowledge Economy and Income Inequality in the United States, 1917–2008 - Kwon","p","<",0.05,"p < 0.05"
